level,location_id,name,sum,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
8,2423701010304,"Μιντζαίικα,τα",8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
8,2423701010305,"Παναγιά,η",4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3
8,2423701010306,"Προφήτης Ηλίας,ο",3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
6,242370102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΒΡΑΧΝΑΙΙΚΩΝ,2392,136,147,181,134,133,109,110,126,178,195,172,145,149,151,143,197
7,24237010201,Δημοτική Κοινότητα Βραχναιίκων,1447,84,97,121,86,77,69,66,80,111,121,99,75,85,87,76,121
8,2423701020101,"Βραχναίικα,τα",1305,72,81,111,78,68,55,57,69,103,115,95,69,78,78,66,109
8,2423701020102,"Δρεσθενά,τα",100,14,18,13,9,10,5,7,4,0,0,0,6,7,3,9,0
8,2423701020103,"Μοιραίικα,τα",41,3,0,0,0,0,4,0,3,3,3,0,5,0,0,3,9
7,24237010202,Δημοτική Κοινότητα Θεριανού,79,3,5,5,3,3,0,4,4,6,6,8,3,7,5,5,16
8,2423701020201,"Θεριανόν,το",79,3,5,5,3,3,0,4,4,6,6,8,3,7,5,5,16
7,24237010203,Δημοτική Κοινότητα Καμινίων,339,23,17,21,21,20,19,9,20,33,25,23,25,13,25,24,25
8,2423701020301,"Καμίνια,τα",339,23,17,21,21,20,19,9,20,33,25,23,25,13,25,24,25
7,24237010204,Δημοτική Κοινότητα Μονοδενδρίου,282,18,15,17,12,16,16,16,13,15,19,27,27,22,17,21,17
8,2423701020401,"Μονοδένδριον,το",282,18,15,17,12,16,16,16,13,15,19,27,27,22,17,21,17
7,24237010205,Δημοτική Κοινότητα Τσουκαλαιίκων,245,9,13,20,11,21,8,15,14,17,23,14,11,18,18,17,19
8,2423701020501,"Τσουκαλαίικα,τα",245,9,13,20,11,21,8,15,14,17,23,14,11,18,18,17,19
6,242370103,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΜΕΣΣΑΤΙΔΟΣ,7179,368,462,544,454,385,354,386,503,635,563,552,434,431,341,326,439
7,24237010301,Δημοτική Κοινότητα Οβριάς,3202,171,227,225,202,175,162,196,225,288,243,230,193,186,139,141,192
8,2423701030101,"Οβριά,η",3202,171,227,225,202,175,162,196,225,288,243,230,193,186,139,141,192
7,24237010302,Δημοτική Κοινότητα Θέας,263,5,14,22,22,16,6,15,13,30,19,21,17,26,13,10,20
8,2423701030201,"Θέα,η",212,5,14,18,17,14,6,8,8,28,16,17,14,24,11,5,18
8,2423701030202,"Λυγιαί,αι",22,0,3,0,3,6,3,0,0,0,4,4,3,0,0,3,0
8,2423701030203,"Παυλόκαστρον,το",29,0,3,0,0,0,0,4,3,0,4,4,0,0,0,0,3
