level,location_id,name,sum,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
8,2423705021201,"Σειραί,αι",45,5,0,3,0,0,0,0,4,5,0,3,6,5,4,3,10
8,2423705021202,"Άγιοι Θεόδωροι,οι",6,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
8,2423705021203,"Άγιος Γεώργιος,ο",57,3,5,0,0,3,3,4,3,3,0,6,6,4,10,4,5
8,2423705021204,"Θωμαίϊκα,τα",38,0,0,0,4,11,0,3,0,5,6,4,0,0,0,0,5
8,2423705021205,"Κρήνη,η",47,3,0,0,3,4,0,0,0,4,5,4,3,4,7,11,3
6,242370503,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΛΕΙΤΟΡΟΣ,2040,63,56,62,65,73,84,84,93,102,107,126,151,176,170,163,465
7,24237050301,Δημοτική Κοινότητα Κλειτορίας,671,33,23,29,38,23,20,36,33,48,43,49,51,44,42,41,120
8,2423705030101,"Κλειτορία,η",626,31,26,29,33,19,22,36,32,48,43,45,49,36,40,32,108
8,2423705030102,"Βάλτος,ο",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423705030103,"Ελατόφυτον,το",13,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0
8,2423705030104,"Ζαρέλια,τα",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423705030105,"Καλλιθέα,η",33,0,0,0,0,3,0,0,3,3,0,3,3,6,3,4,14
